ID,ace,af,ak,am,an,ang,ar,arc,arz,as,ast,av,ay,az,azb,ba,bar,bcl,be,be-tarask,bg,bho,bjn,bm,bn,bo,bpy,br,bs,bxr,ca,cdo,ce,ceb,chr,ckb,co,cs,csb,cv,cy,da,de,din,diq,dty,dv,ee,el,eml,en,eo,es,et,eu,ext,fa,ff,fi,fo,fr,frr,fur,fy,ga,gag,gan,gd,gl,glk,gn,gom,gsw,gu,gv,ha,hak,haw,he,hi,hif,hr,ht,hu,hy,ia,id,ig,ilo,io,is,it,ja,jam,jbo,jv,ka,kaa,kbp,kg,ki,kk,kl,km,kn,ko,koi,krc,ksh,ku,ky,la,lb,lbe,lez,lfn,lg,li,lij,lmo,ln,lo,lt,lv,lzh,mai,mdf,mg,mhr,min,mk,ml,mn,mr,ms,mt,mwl,my,myv,mzn,nah,nan,nap,nb,nds,ne,new,nl,nn,nso,nv,ny,oc,om,or,os,pa,pam,pap,pcd,pdc,pl,pms,pnb,ps,pt,qu,rmy,rn,ro,ru,rue,rup,rw,sa,sah,sat,sc,scn,sco,sd,se,sgs,sh,si,sk,sl,sn,so,sq,sr,ss,st,su,sv,sw,szl,ta,tcy,te,tg,th,ti,tk,tl,tn,tpi,tr,ts,tt,tum,tyv,udm,ug,uk,ur,uz,ve,vec,vep,vi,vls,vro,wa,war,wo,wuu,xh,xmf,yi,yo,yue,za,zea,zh,zu
DOID:0060252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sclerocornea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060254,,,,,,,,,,,,,,Robinov sindromu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robinow-Syndrom,,,,,,,,Robinow syndrome,,,,,,,,,,syndrome de Robinow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zespół Robinowa,,,,,,,,,Синдром Робинова,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dowling-Degos-Krankheit,,,,,,,,Dowling-Degos disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choroba Dowlinga-Degosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dyschromatosis symmetrica hereditaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discromatosi simmetrica ereditaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reticulate acropigmentation of Kitamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reno-hepato-pankreatische Dysplasie,,,,,,,,renal-hepatic-pancreatic dysplasia,,,,,,دیسپلازی لوزه‌المعده‌ای-کبدی-کلیوی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060260,,,,,,,تدلي الجفن,,,,,,,Ptoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ptosis,,,,,,,,ptosis,Ptozo,ptosis palpebral,,,Tosi,پتوز,,Riippuluomi,,ptosis,,,,,,,,,,,,,,,,,,צנחת,,,,,,Պտոզ,,,,,,,blefaroptosi,眼瞼下垂,,,,პტოზი,,,,,,,,,안검하수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ptosis,,,,,,,,,,,,,,Ptoza,,,,ptose,,,,,Птоз верхнего века,,,,,,,,,,,,,,,,,,,,,,,,ptos,,,,,,,หนังตาตก,,,,,,,,Птоз,,,,,Птоз,,,,,,Sụp mí mắt,,,,,,,,,,,,,,眼睑下垂,
DOID:0060262,,,,,,,أمراض المرارة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gallbladder disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doença da vesícula biliar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060263,,,,,,,تنخرب الدماغ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porenzephalie,,,,,,,,porencephaly,,Porencefalia,,,,,,,,Porencéphalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,porencefalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060264,,,,,,,نقص تنسج جسري مخيخي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pontozerebelläre Hypoplasie,,,,,,,,non-syndromic pontocerebellar hypoplasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pontocerebellaire hypoplasie type 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olivo-ponto-cerebelläre Hypoplasie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary pigmented nodular adrenocortical disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Photosensibilität,,,,,,Φωτοεπιληψία,,photosensitive epilepsy,,Epilepsia fotosensitiva,,,,,,,,,,,,,,,,,,,,,,,,,,אפילפסיה פוטוסנסיטיבית,,,,,,,,,,,,,,光過敏性発作,,,,,,,,,,,,,광과민성 발작,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Padaczka fotogenna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060282,,,,,,,الجملة الوعائية الجنينية المستدمية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persistierender hyperplastischer primärer Vitreus,,,,,,,,persistent hyperplastic primary vitreous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060283,,,,,,,متلازمة تقشير الجلد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peeling-Skin-Syndrom,,,,,,,,peeling skin syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060284,,,,,,,بيلة هيموغلوبينية ليلية انتيابية,,,,,,,,,,,,,,,,,,,,,,,,hemoglobinúria paroxística nocturna,,,,,,,Paroxysmální noční hemoglobinurie,,,,,Paroxysmale nächtliche Hämoglobinurie,,,,,,,,paroxysmal nocturnal hemoglobinuria,,Hemoglobinuria nocturna paroxística,,,,سندرم مارشیفاوا میشلی,,,,Hémoglobinurie paroxystique nocturne,,,,,,,,,,,,,,,,,,המוגלובינוריה לילית התקפית,,,,,,,,,,,,,emoglobinuria parossistica notturna,発作性夜間血色素尿症,,,,,,,,,,,,,발작성 야간혈색소 요증,,,,,,,,,,,,,,,,,Paroksizminė naktinė hemoglobinurija,,,,,,,,,,,,,,,,,,,,,,,,,Paroxismale nachtelijke hemoglobinurie,,,,,,,,,,,,,,Napadowa nocna hemoglobinuria,,,,hemoglobinúria paroxística noturna,,,,,Пароксизмальная ночная гемоглобинурия (ПНГ),,,,,,,,,,,,,Paroksizmalna noćna hemoglobinurija,,,,,,,Пароксизмална ноћна хемоглобинурија,,,,,,,,,,,,,,,,,Paroksismal nokturnal hemoglobinüri,,,,,,,,,,,,,,,,,,,,,,,,間發性晚間血紅蛋白尿病,,,陣發性睡眠性血紅蛋白尿,
DOID:0060285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foramina parietalia permagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060287,,,,,,,تسطح القرنية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,omodysplasie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHDO-Syndrom,,,,,,,,,,,,,,,,Ohdon oireyhtymä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sindrome di Ohdo blefarofimosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zespół Ohdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Simpson syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oculodentodigital dysplasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chondrodysplasia punctata Typ Sheffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sindrome di Crisponi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complement 2 deficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,congenital secretory chloride diarrhea 1,,,Kaasasündinud kloriididiarröa,,,,,Kloridiripuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dyschromatosis universalis hereditaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Megalokornea,,,,,,,,megalocornea,,Megalocórnea,,,,,,,,mégalocornée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,megalocórnea,,,,,Мегалокорнеа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-chromosomale mentale Retardierung,,,,,,,,X-linked mental retardation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X染色体连锁精神发育迟滞,
DOID:0060310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uvulitis,,,,,,,,,,uvulite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uvulitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adenoide,,,,,,,,adenoid hypertrophy,,hipertrofia adenoidea,Neelumandli hüpertroofia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adenoidná vegetácia,,,,,,,,,,,,அடினாய்டுகள்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060312,,,,,,,التهاب الشفة الزاوي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mundwinkelrhagaden,,,,,,Γωνιακή χειλίτιδα,,angular cheilitis,,queilitis angular,,,,,,,,perlèche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cheilite angolare,口角炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perlèche,,,,,,,ଓଠକୋଣ ପ୍ରଦାହ‎‎,,,,,,,Zapalenie kątów ust,,,,quelite angular,,,,,Заеда,,,,,,,,,,,,,,,,Angularni heilitis,,,,,,,,munvinkelragader,,,,,,,,,,,,,,,,,,,,Заїда,,,,,,,,,,,,,,,,,,,,口角炎,
DOID:0060313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheomalazie,,,,,,,,tracheomalacia,,,,,,,,,,trachéomalacie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tracheomalacie,,,,,,,,,,,,,,Tracheomalacja,,,,traqueomalácia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ท่อลมอ่อน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,persistent generalized lymphadenopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060315,,,,,,,طلاوة مشعرة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haarleukoplakie,,,,,,,,oral hairy leukoplakia,,Leucoplasia oral vellosa,,,,,,,,Leucoplasie chevelue buccale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leucoplasia pilosa,,,,,Волосатая лейкоплакия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orofaciodigital syndrome I,,,,,,سندرم دهان-صورت-انگشت نوع ۱,,,,Syndrome oro-facio-digital type 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zespół ustno-twarzowo-palcowy typu I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060317,,,,,,,خراج الرئة,,,,,,,,,,,,Абсцэс лёгкага,,,,,,,,,,,,abscés pulmonar,,,,,,,,,,,,,,,,,,,,lung abscess,,absceso pulmonar,,,,آبسه ریوی,,Keuhkopaise,,,,,,,,,,,,,,,,,,,,מורסה ריאתית,,,,,,,,,,,,,ascesso polmonare,,,,,,,,,,Өкпе абсцессі,,,,폐농양,,,,,Өпкөнүн сезгениши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Longabces,,,,,,,,,,,,,,Ropień płuca,,,,abscesso pulmonar,,,,Abces pulmonar,Абсцесс лёгкого,,,,,,,,,,,,,,,Absces pľúc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Абсцес легень,,,,,,,,,,,,,,,,,,,,,
DOID:0060318,,,,,,,لوكيميا حادة بخلايا النخاع الخديج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promyelozytenleukämie,,,,,,,,acute promyelocytic leukemia,,Leucemia promielocítica aguda,,,,,,,,,,,,,,,,,,,,,,,,,,לוקמיה פרומיאלוציטית חריפה,,,Akutna promijelocitna leukemija,,,,,,,,,,leucemia promielocitica acuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acute promyelocytenleukemie,,,,,,,,,,,,,,Ostra białaczka promielocytowa,,,,leucemia promielocítica aguda,,,,,Острый промиелоцитарный лейкоз,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0060319,,,,,,,توقف القلب,,,,Paru cardiorrespiratoriu,,,,,,,,,,,,,,,,,,,,aturada cardiorespiratòria,,,,,وەستانی دڵ,,,,,,Hjertestop,Kreislaufstillstand,,,,ހިތް ހުއްޓުން,,,,cardiac arrest,,paro cardiorespiratorio,,,,ایست قلبی,,Sydänhalvaus,,arrêt cardio-circulatoire,,,,,,,,Parada cardiorrespiratoria,,,,,હૃદયસ્તંભતા,,,,,דום לב,पूर्णहृदरोध,,Kardiogeni šok,,hirtelen szívmegállás,Սրտի կանգ,Arrestation cardiac,,,,,Hjartastopp,arresto cardiaco,心停止,,,Gagal jantung,,,,,,Жүректің тоқтап қалуы,,,ಹೃದಯ ಸ್ತಂಭನ,심정지,,,,,,Institio cordis,,,,,,,,,,,,,,हृदयघात,,,,,,ഹൃദയസ്തംഭനം,,,,,,,,,,,,hjertestans,,हृदयघात,कार्डियाक अरेस्ट,hartstilstand,hjartestans,,,,,,ହୃଦ୍‌ରୋଧ,,,,,,,nagłe zatrzymanie krążenia,,,,parada cardiorrespiratória,,,,,остановка сердца,,,,,,,,,,,,,Srčani zastoj,,,Srčni zastoj,,,,срчани застој,,,,hjärtstillestånd,,,இதய நிறுத்தம்,,హృదయ స్తంభన,,หัวใจหยุดเต้น,,,,,,Kardiyak arrest,,,,,,,зупинка серця,توقفِ قلب,,,,,ngừng tim,,,,,,,,,,,心臟驟停,,,心停止,
DOID:0060320,,Liesbreuk,,,,,فتق مغبني,,,,,,,,,,,,,,Ингвинална херния,,,,,,,,Preponska kila,,Hèrnia inguinal,,,,,,,,,,,Lyskebrok,Leistenbruch,,,,ވައިފޭބުން,,Βουβωνοκήλη,,inguinal hernia,,Hernia inguinal,Kubemesong,Iztai hernia,,فتق مغبنی,,,,Hernie inguinale,,,,,,,,,,,,,,,,,,,,,Preponska kila,,,Աճուկային Ճողուածք,,Hernia Inguinalis,,,,,,鼠径ヘルニア,,,,საზარდულის თიაქარი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paposcia,,,,,Liesbreuk,,,,,,,,,,,,,,Przepuklina pachwinowa,,,,hérnia inguinal,,,,,Паховая грыжа,,,,,,,,,,,,,Preponska kila,,,,,,,препонска кила,,,,ljumskbråck,,,,,,,ไส้เลื่อนขาหนีบ,,,,,,,,,,,,,,,,,,,Liesbreuk,,,,,,,,,,,,,,腹股沟疝,
DOID:0060321,,,,,,,فتق سري,,,,,,,,,,,,,,,,,,,,,,Pupčana kila,,,,,,,,,,,,,,,,,,,,Ομφαλοκήλη,,umbilical hernia,,hernia umbilical,,,,فتق ناف,,Napatyrä,,hernie ombilicale,,,,,,,,,,,,,,,,,,בקע טבורי,नाभि-हर्निया,,Pupčana kila,,,Որովայնի ճողվածք,,Bodong,,,,,,臍ヘルニア,,,Bodong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Navelbreuk,,,,,,,,,,,,,,,,,,hernia umbilical,,,,,,,,,,,,,,,,,,Umbilikalna hernija,,,,,,,Pupčana kila,,,,navelbråck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
